source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'wired', 'name': 'Wired'}",Joel Khalili,"What’s Behind the Bitcoin Price Surge? Vibes, Mostly",The price of bitcoin has climbed to a new all-time high. But assigning the cryptocurrency a value is anything but trivial.,https://www.wired.com/story/bitcoin-price-record-economics/,"https://media.wired.com/photos/65ef46042ca08b0e59a9682f/191:100/w_1280,c_limit/031124-business-bitcoin-economics.jpg",2024-03-12T18:13:56Z,"The latest surge in the price of bitcoin is increasing the clamor around it, says Dal Bianco, drawing in yet more speculators and creating a self-reinforcing cycle. Likewise, when collective confiden… [+2967 chars]"
"{'id': 'wired', 'name': 'Wired'}",Joel Khalili,The Science of Crypto Forensics Survives a Court Battle—for Now,"A jury convicted Roman Sterlingov of money laundering this month. His defense team says it will appeal, saying the crypto-tracing technique at the heart of the case is “pseudoscience.”",https://www.wired.com/story/the-science-of-crypto-forensics-court-battle/,"https://media.wired.com/photos/6603759fd3a75d0aa76d16ab/191:100/w_1280,c_limit/business_crypto_tracing_forensics_trial.jpg",2024-03-27T11:00:00Z,"On March 12, Russian-Swedish national Roman Sterlingov was found guilty of money laundering conspiracy and other violations by a federal jury in Washington, DC, for having operated Bitcoin Fog, a ser… [+3654 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Woman found with £2bn in Bitcoin convicted,"Jian Wen, 42, from north London, was involved in converting Bitcoin into assets like luxury houses.",https://www.bbc.co.uk/news/uk-england-london-68620253,https://ichef.bbci.co.uk/news/1024/branded_news/17FE5/production/_132977289_wen2.jpg,2024-03-20T17:50:49Z,"A former takeaway worker found with Bitcoin worth more than £2bn has been convicted at Southwark Crown Court of a crime linked to money laundering.
Jian Wen, 42, from Hendon in north London, was inv… [+2779 chars]"
"{'id': 'ars-technica', 'name': 'Ars Technica'}",Ashley Belanger,Bitcoin price hits record $69K after SEC approvals fueled $7B in investments,"SEC chair warns bitcoin is still ""volatile"" and linked to ""illicit activity.""",https://arstechnica.com/tech-policy/2024/03/bitcoin-price-hits-record-69k-after-sec-approvals-fueled-7b-in-investments/,https://cdn.arstechnica.net/wp-content/uploads/2024/03/GettyImages-1872368024-760x380.jpg,2024-03-05T19:07:13Z,"20
Bitcoin's price hit a record high Tuesday, surging above $69,000 and notching past its prior peak price of $68,991.85 recorded in 2021.
After bitcoin's price sunk in 2022 amid a cryptocurrency i… [+4343 chars]"
"{'id': 'ars-technica', 'name': 'Ars Technica'}",Ashley Belanger,Bitcoin Fog operator convicted of laundering $400M in bitcoins on darknet,"Roman Sterlingov will appeal, denouncing DOJ's crypto-tracing techniques.",https://arstechnica.com/tech-policy/2024/03/bitcoin-fog-operator-convicted-of-laundering-400m-in-bitcoins-on-darknet/,https://cdn.arstechnica.net/wp-content/uploads/2024/03/GettyImages-1240726120-760x380.jpg,2024-03-13T20:34:08Z,"19
A US federal jury has convicted a dual Russian-Swedish national, Roman Sterlingov, for operating Bitcoin Fog, ""the longest-running bitcoin money laundering service on the darknet,"" the Department… [+5682 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Matt Novak,The Feds Are Reportedly Investigating Ethereum Foundation,"The U.S. Securities and Exchange Commission (SEC) is investigating the Ethereum Foundation and companies doing business with the nonprofit, according to a new report from Fortune Wednesday. And that’s very bad news for crypto enthusiasts who were hopeful that…",https://gizmodo.com/sec-ethereum-price-bitcoin-investigation-crypto-etf-1851352576,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/b5adaa02e058acea54ab69fa505844cc.jpg",2024-03-20T18:15:00Z,"The U.S. Securities and Exchange Commission (SEC) is investigating the Ethereum Foundation and companies doing business with the nonprofit, according to a new report from Fortune Wednesday. And thats… [+2397 chars]"
"{'id': None, 'name': 'NPR'}",David Gura,Bitcoin hits a record high. Here are 4 things to know about this spectacular rally,"Bitcoin hit a record high, marking a remarkable comeback from a period known as the ""crypto winter."" A big catalyst behind the gains has been the approval of new bitcoin investment funds.",https://www.npr.org/2024/03/05/1235865112/bitcoin-record-high-rally-crypto-sec-etf,https://media.npr.org/assets/img/2024/03/04/gettyimages-19217562081_wide-eba7c909ba5e0cb64e10c0f882f70414cf0a5847-s1400-c100.jpg,2024-03-05T18:38:02Z,"Bitcoin hit a record high following a rally sparked by the Securities and Exchange Commission's approval of bitcoin exchange-traded funds.
Dan Kitwood/Getty Images
Bitcoin is trading at a new all-t… [+5142 chars]"
"{'id': None, 'name': 'ReadWrite'}",Ali Rees,Why did the Bitcoin price drop?,"Despite reaching record highs of almost $74,000 on Thursday (March 14), the price of Bitcoin (BTC) dropped by 9% early… Continue reading Why did the Bitcoin price drop?
The post Why did the Bitcoin price drop? appeared first on ReadWrite.",https://readwrite.com/why-did-bitcoin-drop/,https://readwrite.com/wp-content/uploads/2024/03/a_chart_showing_bitcoin_rising_a_lot_then_droppi.jpg,2024-03-15T12:38:50Z,"Despite reaching record highs of almost $74,000 on Thursday (March 14), the price of Bitcoin (BTC) dropped by 9% early on Friday (March 15) to $66, 885.
Many cryptocurrency traders will likely sell … [+2274 chars]"
"{'id': None, 'name': 'ReadWrite'}",Radek Zielinski,World’s top pension fund eyes Bitcoin,"Japan’s Government Pension Investment Fund (GPIF) is considering Bitcoin (BTC) as a potential investment diversification tool amidst economic and technological… Continue reading World’s top pension fund eyes Bitcoin
The post World’s top pension fund eyes Bitc…",https://readwrite.com/worlds-top-pension-fund-eyes-bitcoin/,https://readwrite.com/wp-content/uploads/2024/03/Japanese-investors.png,2024-03-19T14:13:51Z,"Japan’s Government Pension Investment Fund (GPIF) is considering Bitcoin (BTC) as a potential investment diversification tool amidst economic and technological changes.
According to a Mar. 19 announ… [+2534 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",prosen@insider.com (Phil Rosen),Why crypto is surging back to all-time highs and shrugging off high interest rates,"Bitcoin suffered during the Fed's tightening cycle, but is rallying once again as a supply-demand imbalance offsets rate pressures.",https://markets.businessinsider.com/news/currencies/bitcoin-price-outlook-explained-cryptocurrency-record-high-interest-rates-fed-2024-3,https://i.insider.com/65e603d790413ab8e1d8e646?width=1200&format=jpeg,2024-03-04T18:47:06Z,"Bitcoin is in the midst of a prolonged rebound back to levels last seen when interest rates were near zero and pixelated artwork was regularly selling for millions. 
On Monday, bitcoin spiked more t… [+3350 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}","Sarah Andersen,Teresa Zhang,Laila Maidan",How bitcoin halving affects crypto prices,"With bitcoin hitting new record highs, the crypto world is bracing for the next ""halving,"" which occurs every four years.",https://www.businessinsider.com/bitcoin-halving-event-crypto-market-mining-etf-2024,https://i.insider.com/65f08f9890413ab8e1dbd6a4?width=1200&format=jpeg,2024-03-12T20:17:49Z,"With bitcoin hitting new record highs, the crypto world is bracing for the next ""halving,"" which occurs every four years. We break down how it works and what it means for investors.Read the original … [+26 chars]"
"{'id': None, 'name': 'ReadWrite'}",Radek Zielinski,Coinbase CEO: Bitcoin could counteract US deficit,"Coinbase CEO Brian Armstrong has advocated for Bitcoin (BTC) as a financial discipline tool, suggesting it could counteract United States… Continue reading Coinbase CEO: Bitcoin could counteract US deficit
The post Coinbase CEO: Bitcoin could counteract US de…",https://readwrite.com/coinbase-ceo-bitcoin-could-counteract-us-deficit/,https://readwrite.com/wp-content/uploads/2024/03/bJrwuE-PR2-ZleuzYPZ4rg.png,2024-03-14T08:56:30Z,"Coinbase CEO Brian Armstrong has advocated for Bitcoin (BTC) as a financial discipline tool, suggesting it could counteract United States deficit spending and echo the fiscal restraint of the gold st… [+2615 chars]"
